,Spot@2026-03-01,Spot@2026-09-01,Spot@2027-03-01,Spot@2027-09-01,Spot@2028-03-01,Spot@2028-09-01,Spot@2029-03-01,Spot@2029-09-01,Spot@2030-03-01,Spot@2030-09-01
2026-01-05,0.0224872672,0.0231679414,0.0248090672,0.025984486,0.0265615408,0.0270683399,0.0278024487,0.0284363501,0.0286969685,0.0293227431
2026-01-06,0.0221799679,0.0232236661,0.0245713304,0.0254861755,0.0263183195,0.0267943202,0.0275696021,0.0281186591,0.028899758,0.029528864
2026-01-07,0.0225511922,0.0228124275,0.0243336681,0.0256119635,0.0263099577,0.0268303532,0.0275264499,0.0279960168,0.0285282477,0.029123788
2026-01-08,0.0222333887,0.0230233248,0.0242721441,0.0254214964,0.0262046795,0.0267082676,0.0274192914,0.0280860987,0.0286926093,0.0293197591
2026-01-09,0.0219032043,0.0226086487,0.0243022102,0.0254832811,0.026243858,0.0267430208,0.0274426814,0.0281702724,0.0284776585,0.0291277205
2026-01-12,0.0223538816,0.022930245,0.0243865511,0.025345228,0.0261127206,0.0266064552,0.0273114365,0.0280397291,0.0286183739,0.0292302176
2026-01-13,0.0227762148,0.0228263399,0.0243250054,0.0254685575,0.0262469913,0.0267181985,0.0274325498,0.028208931,0.0286939082,0.029273708
2026-01-14,0.0224221406,0.0227223574,0.0244451601,0.025402203,0.0260903981,0.0266748937,0.0272887229,0.0280888211,0.0282695136,0.0288701119
2026-01-15,0.0220524227,0.0226174929,0.0239295052,0.0251522165,0.0259418743,0.0264773278,0.0271880474,0.0277952506,0.0282814457,0.0288810796
2026-01-16,0.0216659945,0.0225117347,0.024049245,0.0250219375,0.0259810855,0.0265121039,0.0272113974,0.0278196148,0.0284158992,0.0290015895
