,X_logret_1yr-1yr,X_logret_1yr-2yr,X_logret_1yr-3yr,X_logret_1yr-4yr
2026-01-06,-0.0174815062,-0.0029963251,0.0282123996,0.0252013551
2026-01-07,0.0125466084,-0.0039504254,-0.0351000639,-0.027468306
2026-01-08,-0.0098531633,-0.0023741657,0.0283140601,0.0152006615
2026-01-09,0.0066905005,-0.000274046,-0.0185007116,-0.010427952
2026-01-12,-0.0148559099,-0.0041316627,0.0202990057,0.0040340609
2026-01-13,0.0119982613,0.0032558501,0.001437012,-0.0086175431
2026-01-14,-0.0117751234,-0.0028140548,-0.0321566584,-0.0163801431
2026-01-15,0.002270499,-0.0008443535,0.0033870259,0.0096558731
2026-01-16,-0.0024737195,0.002943287,0.0109719647,0.0037674451
